MMM,
AXP,
AAPL,
BA,
CAT,
CVX,
CSCO,
KO,
DIS,
DOW,
XOM,
GS,
HD,
IBM,
INTC,
JNJ,
JPM,
MCD,
MRK,
MSFT,
NKE,
PFE,
PG,
RTX,
TRV,
UNH,
VZ,
V,
WBA,
WMT
